ip,protocol,slot,group,id,label,kind,access,value,value_name,unit,min,max,step,default,enum_items,max_len,alarm_priority,alarm_tag,alarm_on,alarm_off,slot_status
10.6.239.113,acp1,1,identity,0,Card name,string,R--,2GS110,,,,,,,,8,,,,,
10.6.239.113,acp1,1,identity,1,User label,string,RW-,Full HD format,,,,,,,,16,,,,,
10.6.239.113,acp1,1,identity,2,Card description,string,R--,2GS110-2728.html,,,,,,,,16,,,,,
10.6.239.113,acp1,1,identity,3,Software rev,string,R--,2728,,,,,,,,4,,,,,
10.6.239.113,acp1,1,identity,4,Hardware rev,string,R--,0100,,,,,,,,4,,,,,
10.6.239.113,acp1,1,identity,5,Product code,string,R--,9490590010,,,,,,,,10,,,,,
10.6.239.113,acp1,1,identity,6,Serial number,string,R--,PR000158,,,,,,,,16,,,,,
10.6.239.113,acp1,1,identity,7,Card ID,string,R--,71ef060a0000001f,,,,,,,,16,,,,,
10.6.239.113,acp1,1,identity,8,Key,string,RW-,ZH43-ZXQFG-64JK,,,,,,,,15,,,,,
10.6.239.113,acp1,1,identity,9,Features,string,R--,400F3CB7,,,,,,,,8,,,,,
10.6.239.113,acp1,1,identity,10,HD,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,1,identity,11,3G,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,1,identity,12,Audio Shuffler,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,1,identity,13,ARC,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,1,identity,14,Up,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,1,identity,15,Down,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,1,identity,16,Cross,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,1,identity,17,Side Curtains,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,1,identity,18,Frame Delay,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,1,identity,19,CVBS In,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,1,identity,20,SDI In 2,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,1,identity,21,TWINS,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,1,control,0,IO-Ctrl,enum,RW-,2,GPI-A,,,,,0,Manual|GPI|GPI-A|GPI-B|GPI-C,,,,,,
10.6.239.113,acp1,1,control,1,IO-Prst_Act,enum,RW-,5,6,,,,,0,1|2|3|4|5|6|7|8,,,,,,
10.6.239.113,acp1,1,control,2,IO-Prst_Edit,enum,RW-,0,1,,,,,0,1|2|3|4|5|6|7|8,,,,,,
10.6.239.113,acp1,1,control,3,#Inp_SelA,enum,RW-,0,SDI-1,,,,,0,SDI-1|SDI-2|Analog|Zoneplate|Colorbar,,,,,,
